period,practice_code,lsoa,population
01/01/2018,B82080,E01013126,424
01/01/2018,B82080,E01013348,27
01/01/2018,B82080,E01013351,1200
01/01/2018,B82080,E01013352,1176
01/01/2018,B82080,E01013370,77
01/01/2018,B82080,E01013371,56
01/01/2018,B82080,E01013372,63
01/01/2018,B82080,E01013373,86
01/01/2018,B82080,E01013374,97
01/01/2018,B82080,E01013375,76
01/01/2018,B82080,E01013376,71
01/01/2018,B82080,E01013377,54
01/01/2018,B82080,E01013386,51
01/01/2018,B82080,E01013404,236
01/01/2018,B82080,E01013405,239
01/01/2018,B82080,E01013406,217
01/01/2018,B82080,E01013407,326
01/01/2018,B82080,E01013408,341
01/01/2018,B82080,E01013409,658
01/01/2018,B82080,E01013410,98
01/01/2018,B82080,E01013411,405
01/01/2018,B82080,E01013419,98
01/01/2018,B82080,E01013430,22
01/01/2018,B82080,E01013436,908
01/01/2018,B82080,E01013437,133
01/01/2018,B82080,E01013438,1641
01/01/2018,B82080,E01013439,1443
01/01/2018,B82080,E01013440,1552
01/01/2018,B82080,E01027601,96
01/01/2018,B82080,E01027622,68
01/01/2018,B82080,E01027778,162
01/01/2018,B82080,E01027782,30
01/01/2018,B82080,E01027797,1234
