"period","practice_code","lsoa","population"
"2021-07-01","B82047","E01033067",247
"2021-07-01","B82047","E01033068",113
"2021-07-01","B82047","E01033069",65
"2021-07-01","B82047","E01033070",1002
"2021-07-01","B82064","E01027594",109
"2021-07-01","B82064","E01027595",116
"2021-07-01","B82064","E01027596",76
"2021-07-01","B82064","E01027600",134
"2021-07-01","B82064","E01027601",119
"2021-07-01","B82064","E01027619",1207
"2021-07-01","B82064","E01027622",23
"2021-07-01","B82064","E01027634",1538
"2021-07-01","B82064","E01027636",21
"2021-07-01","B82068","E01027627",42
"2021-07-01","B82068","E01027636",23
"2021-07-01","B82068","E01027775",151
"2021-07-01","B82068","E01027776",29
"2021-07-01","B82068","E01027777",58
"2021-07-01","B82068","E01027780",1337
"2021-07-01","B82068","E01027781",1122
"2021-07-01","B82068","E01027782",30
"2021-07-01","B82068","E01027783",238
"2021-07-01","B82068","E01027784",90
"2021-07-01","B82068","E01027800",330
"2021-07-01","B82071","E01013340",912
"2021-07-01","B82071","E01013341",881
"2021-07-01","B82071","E01013342",1051
"2021-07-01","B82071","E01013353",25
"2021-07-01","B82071","E01013354",55
"2021-07-01","B82071","E01013355",103
"2021-07-01","B82071","E01013356",25
"2021-07-01","B82071","E01013357",189
"2021-07-01","B82071","E01013358",23
"2021-07-01","B82071","E01013412",38
"2021-07-01","B82071","E01013414",32
"2021-07-01","B82071","E01013421",300
"2021-07-01","B82071","E01013423",866
"2021-07-01","B82071","E01013424",936
"2021-07-01","B82071","E01013425",1077
"2021-07-01","B82071","E01027875",858
"2021-07-01","B82073","E01011297",378
"2021-07-01","B82073","E01011298",1171
"2021-07-01","B82073","E01011299",51
"2021-07-01","B82073","E01027888",218
"2021-07-01","B82073","E01027891",531
"2021-07-01","B82073","E01027892",246
"2021-07-01","B82073","E01027893",916
"2021-07-01","B82073","E01027894",974
"2021-07-01","B82073","E01027895",424
"2021-07-01","B82073","E01027898",2222
"2021-07-01","B82073","E01027899",752
"2021-07-01","B82073","E01027904",117
"2021-07-01","B82073","E01027914",261
"2021-07-01","B82073","E01027915",533
"2021-07-01","B82073","E01027916",295
"2021-07-01","B82073","E01027917",677
"2021-07-01","B82073","E01027923",28
"2021-07-01","B82074","E01027876",682
"2021-07-01","B82074","E01027877",622
"2021-07-01","B82074","E01027878",590
"2021-07-01","B82074","E01027879",502
"2021-07-01","B82074","E01027880",470
"2021-07-01","B82074","E01027881",544
"2021-07-01","B82074","E01027882",626
"2021-07-01","B82074","E01027883",148
"2021-07-01","B82074","E01027884",270
"2021-07-01","B82074","E01027886",774
"2021-07-01","B82074","E01027887",745
"2021-07-01","B82074","E01027888",44
"2021-07-01","B82074","E01027890",232
"2021-07-01","B82074","E01027893",346
"2021-07-01","B82074","E01027894",598
"2021-07-01","B82074","E01027895",337
"2021-07-01","B82074","E01027896",1286
"2021-07-01","B82074","E01027897",1147
"2021-07-01","B82074","E01027901",84
"2021-07-01","B82074","E01027902",70
"2021-07-01","B82074","E01027905",947
"2021-07-01","B82074","E01027906",523
"2021-07-01","B82074","E01027907",534
"2021-07-01","B82074","E01027908",730
"2021-07-01","B82074","E01027909",1320
"2021-07-01","B82074","E01027910",2161
"2021-07-01","B82074","E01027911",654
"2021-07-01","B82074","E01027912",294
"2021-07-01","B82074","E01027913",491
"2021-07-01","B82077","E01027774",42
"2021-07-01","B82077","E01027776",364
"2021-07-01","B82077","E01027777",931
"2021-07-01","B82077","E01027780",600
"2021-07-01","B82077","E01027781",86
"2021-07-01","B82077","E01027782",47
"2021-07-01","B82077","E01027783",1495
"2021-07-01","B82077","E01027784",1539
"2021-07-01","B82077","E01027792",70
"2021-07-01","B82077","E01027793",45
"2021-07-01","B82077","E01027794",75
"2021-07-01","B82077","E01027795",59
"2021-07-01","B82077","E01027800",640
"2021-07-01","B82079","E01027594",142
"2021-07-01","B82079","E01027595",139
